,name,github_id,category,show,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,projectrank_placing,github_release_downloads,monthly_downloads,new_addition
0,umap,lmcinnes/umap,visualization,True,https://github.com/lmcinnes/umap,https://github.com/lmcinnes/umap,BSD-3-Clause,2017-07-02 01:11:17,2021-02-04 20:30:36,2021-02-04 20:30:36,471.0,206.0,225.0,4465,1308.0,2021-01-11 21:27:54,0.5.0,23.0,Uniform Manifold Approximation and Projection.,2296.0,2296.0,70.0,25,1,,,
1,biopython,biopython/biopython,others,True,https://github.com/biopython/biopython,https://github.com/biopython/biopython,,2009-03-15 21:09:53,2021-02-03 20:46:35,2021-01-25 14:50:10,1172.0,318.0,858.0,2586,14705.0,,,,Official git repository for Biopython (originally converted from CVS).,6445.0,6445.0,368.0,24,1,,,
2,bedtools2,arq5x/bedtools2,bed-gtf-gff,True,https://github.com/arq5x/bedtools2,https://github.com/arq5x/bedtools2,MIT,2013-12-09 21:18:03,2021-02-04 19:08:28,2021-02-04 19:08:09,239.0,134.0,534.0,648,2060.0,2021-01-23 20:10:40,2.30.0,21.0,bedtools - the swiss army knife for genome arithmetic.,,,85.0,22,1,361455.0,4202.0,
3,picard,broadinstitute/picard,sam-bam,True,https://github.com/broadinstitute/picard,https://github.com/broadinstitute/picard,MIT,2014-03-28 20:43:35,2021-02-04 14:22:53,2021-02-03 20:27:01,290.0,169.0,459.0,641,2893.0,2021-02-03 16:13:18,2.24.2,100.0,A set of command line tools (in Java) for manipulating high-throughput sequencing (HTS) data and formats such as..,,,135.0,22,1,159985.0,3809.0,
4,gatk,broadinstitute/gatk,variant-caller,True,https://github.com/broadinstitute/gatk,https://github.com/broadinstitute/gatk,BSD-3-Clause,2014-12-02 20:50:36,2021-02-05 05:29:02,2021-02-03 20:59:37,382.0,942.0,3051.0,972,4288.0,2020-10-09 22:35:14,4.1.9.0,38.0,Official code repository for GATK versions 4 and up.,,,106.0,21,1,328333.0,7462.0,
5,igv.js,igvteam/igv.js,visualization,True,https://github.com/igvteam/igv.js,https://github.com/igvteam/igv.js,MIT,2014-08-26 21:15:32,2021-02-04 22:41:41,2021-01-12 14:42:16,137.0,51.0,762.0,404,4544.0,2020-12-09 06:56:04,2.7.4,34.0,Embeddable genomic visualization component based on the Integrative Genomics Viewer.,84.0,84.0,50.0,21,2,,,True
6,deepvariant,google/deepvariant,variant-caller,True,https://github.com/google/deepvariant,https://github.com/google/deepvariant,BSD-3-Clause,2017-11-23 01:56:22,2021-02-02 20:37:57,2020-12-14 23:35:27,525.0,1.0,376.0,2179,1503.0,2020-12-07 17:56:31,1.1.0,15.0,DeepVariant is an analysis pipeline that uses a deep neural network to call genetic variants from next-generation DNA..,,,19.0,20,2,3002.0,79.0,
7,samtools,samtools/samtools,sam-bam,True,https://github.com/samtools/samtools,https://github.com/samtools/samtools,,2012-03-09 02:49:58,2021-02-04 14:07:30,2021-02-03 11:44:56,444.0,173.0,657.0,1033,2225.0,2020-09-22 12:48:27,1.11,12.0,Tools (written in C using htslib) for manipulating next-generation sequencing data.,,,77.0,20,2,778676.0,10814.0,
8,freebayes,freebayes/freebayes,variant-caller,True,https://github.com/freebayes/freebayes,https://github.com/freebayes/freebayes,MIT,2010-10-13 21:34:33,2021-02-04 15:22:19,2021-01-30 06:42:17,211.0,5.0,564.0,513,1189.0,2021-01-29 11:03:33,1.3.4,9.0,Bayesian haplotype-based genetic polymorphism discovery and genotyping.,,,42.0,20,2,3707.0,58.0,
9,bioconda-recipes,bioconda/bioconda-recipes,others,True,https://github.com/bioconda/bioconda-recipes,https://github.com/bioconda/bioconda-recipes,,2015-09-12 20:33:30,2021-02-05 05:14:42,2021-02-05 02:36:36,1679.0,248.0,1101.0,1235,30984.0,,,,Conda recipes for the bioconda channel.,,,1309.0,19,1,,,
10,minimap2,lh3/minimap2,ngs-alignment,True,https://github.com/lh3/minimap2,https://github.com/lh3/minimap2,,2017-07-18 15:04:53,2021-01-29 19:08:37,2021-01-29 19:08:21,237.0,55.0,593.0,887,924.0,2019-05-05 03:50:57,2.17,21.0,A versatile pairwise aligner for genomic and spliced nucleotide sequences.,71.0,71.0,28.0,19,1,41300.0,960.0,
11,MultiQC,ewels/MultiQC,others,True,https://github.com/ewels/MultiQC,https://github.com/ewels/MultiQC,GPL-3.0,2015-08-04 13:47:05,2021-02-03 21:31:08,2021-02-03 12:34:25,350.0,154.0,771.0,697,3918.0,2020-05-30 09:48:52,1.9,21.0,Aggregate results from bioinformatics analyses across many samples into a single report.,133.0,133.0,145.0,19,1,43.0,0.0,
12,htslib,samtools/htslib,sam-bam,True,https://github.com/samtools/htslib,https://github.com/samtools/htslib,,2012-05-15 19:34:48,2021-02-04 13:59:57,2021-02-04 13:59:56,339.0,116.0,388.0,516,2620.0,2020-09-22 13:22:34,1.11,15.0,C library for high-throughput sequencing data formats.,,,68.0,19,2,368014.0,5111.0,
13,diamond,bbuchfink/diamond,sequence-alignment,True,https://github.com/bbuchfink/diamond,https://github.com/bbuchfink/diamond,GPL-3.0,2015-03-10 23:19:00,2021-01-27 16:56:07,2021-01-27 16:55:59,117.0,41.0,354.0,459,1771.0,2020-12-16 14:37:15,2.0.6,93.0,Accelerated BLAST compatible local sequence aligner.,,,17.0,19,1,234537.0,3303.0,
14,sambamba,biod/sambamba,sam-bam,True,https://github.com/biod/sambamba,https://github.com/biod/sambamba,GPL-2.0,2012-04-28 13:46:53,2020-12-01 07:02:30,2020-12-01 07:02:29,74.0,9.0,402.0,404,1087.0,2020-11-30 15:09:55,0.8.0,40.0,Tools for working with SAM/BAM data.,,,22.0,19,2,104744.0,1190.0,
15,bcftools,samtools/bcftools,vcf-bcf,True,https://github.com/samtools/bcftools,https://github.com/samtools/bcftools,,2013-07-12 12:55:22,2021-02-04 13:18:51,2021-02-03 14:20:00,163.0,192.0,1000.0,357,2288.0,2020-09-22 12:48:40,1.11,14.0,"This is the official development repository for BCFtools. To compile, the develop branch of htslib is needed: git..",,,45.0,19,1,284280.0,3948.0,
16,bowtie2,BenLangmead/bowtie2,ngs-alignment,True,https://github.com/BenLangmead/bowtie2,https://github.com/BenLangmead/bowtie2,GPL-3.0,2012-12-20 19:25:11,2021-01-22 16:29:21,2021-01-03 16:02:26,121.0,86.0,201.0,356,2309.0,2020-10-06 04:08:14,2.4.2,21.0,A fast and sensitive gapped read aligner.,,,32.0,19,1,35902.0,535.0,
