,name,github_id,category,show,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,projectrank_placing,github_release_downloads,monthly_downloads
0,umap,lmcinnes/umap,visualization,True,https://github.com/lmcinnes/umap,https://github.com/lmcinnes/umap,BSD-3-Clause,2017-07-02 01:11:17,2021-02-19 18:21:21,2021-02-19 18:21:21,474.0,214.0,230.0,4509,1359.0,2021-02-08 20:01:30,0.5.1,24.0,Uniform Manifold Approximation and Projection.,2387.0,2387.0,71.0,25,1,,
1,biopython,biopython/biopython,others,True,https://github.com/biopython/biopython,https://github.com/biopython/biopython,,2009-03-15 21:09:53,2021-02-20 00:15:46,2021-02-20 00:15:46,1175.0,322.0,861.0,2599,14712.0,,,,Official git repository for Biopython (originally converted from CVS).,6515.0,6515.0,369.0,24,1,,
2,bedtools2,arq5x/bedtools2,bed-gtf-gff,True,https://github.com/arq5x/bedtools2,https://github.com/arq5x/bedtools2,MIT,2013-12-09 21:18:03,2021-02-04 19:08:28,2021-02-04 19:08:09,240.0,135.0,534.0,651,2060.0,2021-01-23 20:10:40,2.30.0,21.0,bedtools - the swiss army knife for genome arithmetic.,,,85.0,22,1,363753.0,4229.0
3,picard,broadinstitute/picard,sam-bam-cram,True,https://github.com/broadinstitute/picard,https://github.com/broadinstitute/picard,MIT,2014-03-28 20:43:35,2021-02-19 16:46:38,2021-02-10 18:44:42,291.0,168.0,460.0,647,2895.0,2021-02-10 19:17:04,2.25.0,100.0,A set of command line tools (in Java) for manipulating high-throughput sequencing (HTS) data and formats such as..,,,135.0,22,1,160644.0,3824.0
4,igv.js,igvteam/igv.js,visualization,True,https://github.com/igvteam/igv.js,https://github.com/igvteam/igv.js,MIT,2014-08-26 21:15:32,2021-02-18 15:31:46,2021-02-17 15:28:18,137.0,44.0,774.0,414,4568.0,2021-02-16 20:02:53,2.7.5,35.0,Embeddable genomic visualization component based on the Integrative Genomics Viewer.,87.0,87.0,50.0,21,2,,
5,deepvariant,google/deepvariant,variant-caller,True,https://github.com/google/deepvariant,https://github.com/google/deepvariant,BSD-3-Clause,2017-11-23 01:56:22,2021-02-15 17:27:37,2020-12-14 23:35:27,531.0,1.0,382.0,2190,1503.0,2020-12-07 17:56:31,1.1.0,15.0,DeepVariant is an analysis pipeline that uses a deep neural network to call genetic variants from next-generation DNA..,,,19.0,20,1,3027.0,79.0
6,samtools,samtools/samtools,sam-bam-cram,True,https://github.com/samtools/samtools,https://github.com/samtools/samtools,,2012-03-09 02:49:58,2021-02-19 16:52:19,2021-02-19 16:52:19,445.0,175.0,663.0,1038,2225.0,2020-09-22 12:48:27,1.11,12.0,Tools (written in C using htslib) for manipulating next-generation sequencing data.,,,77.0,20,2,785739.0,10913.0
7,freebayes,freebayes/freebayes,variant-caller,True,https://github.com/freebayes/freebayes,https://github.com/freebayes/freebayes,MIT,2010-10-13 21:34:33,2021-02-18 14:45:43,2021-02-16 17:02:52,213.0,7.0,567.0,518,1206.0,2021-02-10 09:23:11,1.3.5,10.0,Bayesian haplotype-based genetic polymorphism discovery and genotyping.,,,44.0,20,1,3954.0,62.0
8,canu,marbl/canu,assembler,True,https://github.com/marbl/canu,https://github.com/marbl/canu,,2015-08-21 03:10:42,2021-02-19 20:09:35,2021-02-04 03:21:34,153.0,23.0,1831.0,446,10200.0,2020-10-19 07:12:44,2.1.1,14.0,A single molecule sequence assembler for genomes large and small.,,,49.0,20,1,29602.0,477.0
9,bioconda-recipes,bioconda/bioconda-recipes,others,True,https://github.com/bioconda/bioconda-recipes,https://github.com/bioconda/bioconda-recipes,,2015-09-12 20:33:30,2021-02-20 03:08:07,2021-02-19 23:51:05,1701.0,255.0,1102.0,1240,31236.0,,,,Conda recipes for the bioconda channel.,,,1322.0,19,1,,
10,gatk,broadinstitute/gatk,variant-caller,True,https://github.com/broadinstitute/gatk,https://github.com/broadinstitute/gatk,,2014-12-02 20:50:36,2021-02-19 22:57:55,2021-02-19 21:01:57,388.0,942.0,3059.0,983,4298.0,2021-02-19 21:26:49,4.2.0.0,39.0,Official code repository for GATK versions 4 and up.,,,106.0,19,2,330807.0,7518.0
11,minimap2,lh3/minimap2,ngs-alignment,True,https://github.com/lh3/minimap2,https://github.com/lh3/minimap2,,2017-07-18 15:04:53,2021-02-15 19:49:43,2021-02-15 19:49:36,242.0,57.0,594.0,896,927.0,2019-05-05 03:50:57,2.17,21.0,A versatile pairwise aligner for genomic and spliced nucleotide sequences.,72.0,72.0,28.0,19,1,41830.0,972.0
12,MultiQC,ewels/MultiQC,others,True,https://github.com/ewels/MultiQC,https://github.com/ewels/MultiQC,GPL-3.0,2015-08-04 13:47:05,2021-02-18 02:55:06,2021-02-03 12:34:25,353.0,158.0,773.0,699,3918.0,2020-05-30 09:48:52,1.9,21.0,Aggregate results from bioinformatics analyses across many samples into a single report.,135.0,135.0,145.0,19,1,44.0,0.0
13,htslib,samtools/htslib,sam-bam-cram,True,https://github.com/samtools/htslib,https://github.com/samtools/htslib,,2012-05-15 19:34:48,2021-02-20 03:47:22,2021-02-19 13:38:59,341.0,118.0,392.0,519,2620.0,2020-09-22 13:22:34,1.11,15.0,C library for high-throughput sequencing data formats.,,,69.0,19,2,371001.0,5152.0
14,diamond,bbuchfink/diamond,sequence-alignment,True,https://github.com/bbuchfink/diamond,https://github.com/bbuchfink/diamond,GPL-3.0,2015-03-10 23:19:00,2021-02-19 16:28:17,2021-02-19 16:28:17,117.0,39.0,358.0,463,1776.0,2021-02-12 12:35:04,2.0.7,94.0,Accelerated BLAST compatible local sequence aligner.,,,17.0,19,1,236015.0,3324.0
15,sambamba,biod/sambamba,sam-bam-cram,True,https://github.com/biod/sambamba,https://github.com/biod/sambamba,GPL-2.0,2012-04-28 13:46:53,2020-12-01 07:02:30,2020-12-01 07:02:29,74.0,11.0,403.0,406,1087.0,2020-11-30 15:09:55,0.8.0,40.0,Tools for working with SAM/BAM data.,,,22.0,19,2,105105.0,1194.0
16,bowtie2,BenLangmead/bowtie2,ngs-alignment,True,https://github.com/BenLangmead/bowtie2,https://github.com/BenLangmead/bowtie2,GPL-3.0,2012-12-20 19:25:11,2021-01-22 16:29:21,2021-01-03 16:02:26,123.0,86.0,201.0,361,2309.0,2020-10-06 04:08:14,2.4.2,21.0,A fast and sensitive gapped read aligner.,,,32.0,19,1,36244.0,540.0
17,bcftools,samtools/bcftools,vcf-bcf,True,https://github.com/samtools/bcftools,https://github.com/samtools/bcftools,,2013-07-12 12:55:22,2021-02-19 16:56:30,2021-02-19 16:56:30,163.0,189.0,1021.0,360,2288.0,2020-09-22 12:48:40,1.11,14.0,"This is the official development repository for BCFtools. To compile, the develop branch of htslib is needed: git..",,,46.0,19,1,287931.0,3999.0
